CODIGO CAPITULO,CAPITULO,CODIGO SUBCAPITULO,SUBCAPITULO,CODIGO ITEM,ITEM,UNIDAD,Vr MANO DE OBRA,TOTAL
1,EDIFICACIONES,1.01,PRELIMINARES,1.01.19,DEMOLICIÓN COLUMNA CONCRETO,M3,27111.99,194118.47
1,EDIFICACIONES,1.01,PRELIMINARES,1.01.20,DEMOLICIÓN CUNETA EN CONCRETO,ML,4970.53,5154.44
1,EDIFICACIONES,1.01,PRELIMINARES,1.01.21,DEMOLICION DE PISOS DE CONCRETO <=10 CMS,M2,8398.13,28611.96
1,EDIFICACIONES,1.01,PRELIMINARES,1.01.22,DEMOLICIÓN DE SUMIDEROS,UND,4970.53,18801.08
1,EDIFICACIONES,1.01,PRELIMINARES,1.01.23,DEMOLICIÓN EDIFICACION EXISTENTE,M2,26737.33,36918.85
1,EDIFICACIONES,1.01,PRELIMINARES,1.01.24,DEMOLICIÓN ENCHAPE CERAMICO,M2,7049.12,7225.35
1,EDIFICACIONES,1.01,PRELIMINARES,1.01.25,DEMOLICIÓN ESCALERA CONCRETO REFORZADO (INCLUYE RETIRO),M3,8675.84,31529.11
1,EDIFICACIONES,1.01,PRELIMINARES,1.01.26,DEMOLICIÓN GUARDAESCOBA (INCLUYE RETIRO),ML,1807.47,1825.54
1,EDIFICACIONES,1.01,PRELIMINARES,1.01.27,DEMOLICIÓN LAVADERO EXISTENTE,UND,34793.72,36185.47
1,EDIFICACIONES,1.01,PRELIMINARES,1.01.28,DEMOLICIÓN MESON CONCRETO (INCLUYE RETIRO),M2,24400.79,25254.82
1,EDIFICACIONES,1.01,PRELIMINARES,1.01.29,DEMOLICIÓN MURO ADOBE (INCLUYE RETIRO),M2,2259.33,2372.3
1,EDIFICACIONES,1.01,PRELIMINARES,1.01.30,DEMOLICIÓN MURO CONCRETO E=30CM,M2,16796.27,66374.08
1,EDIFICACIONES,1.01,PRELIMINARES,1.01.31,DEMOLICIÓN MURO CONCRETO HASTA E= 15CM,M2,8781.65,30577.64
1,EDIFICACIONES,1.01,PRELIMINARES,1.01.32,DEMOLICION MUROS EN LADRILLO E = 0.25 mts.,M2,11295.40,11860.17
1,EDIFICACIONES,1.01,PRELIMINARES,1.01.33,DEMOLICIÓN MUROS LADRILLO E = 0.15 mts.,M2,9822.09,10313.19
1,EDIFICACIONES,1.01,PRELIMINARES,1.01.34,DEMOLICIÓN PAÑETES,M2,4518.66,4609.03
1,EDIFICACIONES,1.01,PRELIMINARES,1.01.35,DEMOLICIÓN PAÑETES TECHO,M2,4970.53,5069.94
1,EDIFICACIONES,1.01,PRELIMINARES,1.01.36,DEMOLICIÓN PISO BALDOSA+MORTERO,M2,2259.33,2372.3
1,EDIFICACIONES,1.01,PRELIMINARES,1.01.37,DEMOLICIÓN PISO GRANO PULIDO,M2,3343.81,3444.12
1,EDIFICACIONES,1.01,PRELIMINARES,1.01.38,DEMOLICIÓN PLACA DE PISO E= 10 cm.,M2,16796.27,46878.88
1,EDIFICACIONES,1.01,PRELIMINARES,1.01.39,DEMOLICIÓN PLACAS ALIGERADAS CONCRETO E<= 25 cm.,M2,8005.75,26686.31
1,EDIFICACIONES,1.01,PRELIMINARES,1.01.40,DEMOLICIÓN PLACAS ALIGERADAS CONCRETO E>=25 cm.,M2,9813.22,44145.71
1,EDIFICACIONES,1.01,PRELIMINARES,1.01.41,DEMOLICIÓN PLACAS MACIZAS CONCRETO E <= 20 cm.,M2,6718.51,36297.24
1,EDIFICACIONES,1.01,PRELIMINARES,1.01.42,DEMOLICIÓN VIGA AMARRE CONCRETO < 25 CM - 35 CM,ML,3487.09,5610.96
1,EDIFICACIONES,1.01,PRELIMINARES,1.01.43,DEMOLICIÓN VIGA CANAL.,ML,13948.38,16107.94
1,EDIFICACIONES,1.01,PRELIMINARES,1.01.44,DEMOLICIÓN VIGA CONCRETO 25cm-35cm,ML,3811.12,5951.2
1,EDIFICACIONES,1.01,PRELIMINARES,1.01.45,DEMOLICIÓN VIGA CONCRETO 35cm-45cm,ML,4714.86,8849.64
1,EDIFICACIONES,1.01,PRELIMINARES,1.01.46,DESCAPOTE MANUAL (HASTA 20 CM ) DISTANCIA DE 1 A 5 KM,M2,4911.05,8052.73
1,EDIFICACIONES,1.01,PRELIMINARES,1.01.47,DESMONTE ADOQUIN PREFABRICADO,M2,3434.19,3588.73
1,EDIFICACIONES,1.01,PRELIMINARES,1.01.48,DESMONTE ALAMBRE PÚAS CERRAMIENTO 3 - 5 LÍNEAS INCLUYE POSTES.,ML,7230.02,7591.52
1,EDIFICACIONES,1.01,PRELIMINARES,1.01.49,DESMONTE CANALES - BAJANTES.,ML,2455.52,5017.13
1,EDIFICACIONES,1.01,PRELIMINARES,1.01.50,DESMONTE CIELO FALSO MADERA,M2,3100.08,5674.58
1,EDIFICACIONES,1.01,PRELIMINARES,1.01.51,DESMONTE CORREA METÁLICA,ML,2259.33,4817.02
1,EDIFICACIONES,1.01,PRELIMINARES,1.01.52,DESMONTE CORREA-VIGA-COLUMNA MADERA.,ML,3163.07,4733.83
1,EDIFICACIONES,1.01,PRELIMINARES,1.01.53,DESMONTE CUBIERTA TEJA DE BARRO.,M2,24555.22,28295.48
1,EDIFICACIONES,1.01,PRELIMINARES,1.01.54,DESMONTE CUBIERTAS TEJA DE ASBESTO Y/ O ASBESTO CEMENTO.,M2,7366.57,9523.9
1,EDIFICACIONES,1.01,PRELIMINARES,1.01.55,DESMONTE DE CUBIERTA LAMINA,M2,5038.88,7149.66
1,EDIFICACIONES,1.01,PRELIMINARES,1.01.56,DESMONTE DE CUBIERTA ZINC + ENTRAMADO.,M2,11008.90,13741.58
1,EDIFICACIONES,1.01,PRELIMINARES,1.01.57,DESMONTE DIVISIÓN - PISO A TECHO.,M2,4337.92,4598.2
1,EDIFICACIONES,1.01,PRELIMINARES,1.01.58,DESMONTE ESTRUCTURA MADERA CIELO FALSO,M2,3359.26,5938.95
1,EDIFICACIONES,1.01,PRELIMINARES,1.01.59,DESMONTE ESTRUCTURA MADERA TEJA EN ASBESTO CEMENTO,M2,5490.75,8113.06
1,EDIFICACIONES,1.01,PRELIMINARES,1.01.60,DESMONTE ESTRUCTURA MADERA TEJA DE BARRO,M2,6718.51,13134.13
1,EDIFICACIONES,1.01,PRELIMINARES,1.01.61,DESMONTE ESTRUCTURA METÁLICA PERFILES-VIGAS.,kg,1021.59,3394.45
1,EDIFICACIONES,1.01,PRELIMINARES,1.01.62,DESMONTE MALLA ESLABONADA H=2.0 M.,ML,3614.93,3687.23
1,EDIFICACIONES,1.01,PRELIMINARES,1.01.63,"DESMONTE MARCOS, PUERTAS Y VENTANAS",M2,9822.09,10313.19
1,EDIFICACIONES,1.01,PRELIMINARES,1.01.64,DESMONTE REJA METÁLICA.,M2,10392.93,10912.58
1,EDIFICACIONES,1.01,PRELIMINARES,1.01.65,DESMONTE VIDRIO,M2,2259.33,2304.52
1,EDIFICACIONES,1.01,PRELIMINARES,1.01.66,INSTALACIÓN PROVISIONAL ACUEDUCTO,mes,0.00,92
1,EDIFICACIONES,1.01,PRELIMINARES,1.01.67,INSTALACIÓN PROVISIONAL ENERGIA,mes,0.00,103
1,EDIFICACIONES,1.01,PRELIMINARES,1.01.68,LOCALIZACIÓN Y REPLANTEO OBRA ARQUITECTÓNICA,M2,4229.84,4829.44
1,EDIFICACIONES,1.01,PRELIMINARES,1.01.69,LOCALIZACIÓN Y REPLANTEO REDES HASTA H=50 cm.,M2,3193.89,3397.67
1,EDIFICACIONES,1.01,PRELIMINARES,1.01.70,RED ELÉCTRICA PROVISIONAL L/50 M,UND,540214.80,2098477.98
1,EDIFICACIONES,1.01,PRELIMINARES,1.01.71,"REGATAS SOBRE MUROS EN CONCRETO, LADRILLO Y BLOQUE",ML,1536.35,1597.8
1,EDIFICACIONES,1.01,PRELIMINARES,1.01.72,"RETIRO TUBERÍA AGUA (GALVANIZADA-PVC-AC) HASTA 1""",ML,2160.86,2268.9
1,EDIFICACIONES,1.01,PRELIMINARES,1.01.73,"RETIRO TUBERIA EXISTENTE 0"" A 12""",ML,4518.66,4654.22
1,EDIFICACIONES,1.01,PRELIMINARES,1.01.74,"RETIRO TUBERIA EXISTENTE 12"" A 24""",ML,13555.99,17456.79
1,EDIFICACIONES,1.01,PRELIMINARES,1.01.75,ROTURA PAVIMENTO,M2,7229.86,7808.25
1,EDIFICACIONES,1.01,PRELIMINARES,1.01.76,"ALQUILER DE CAMIONETA D300 O SIMILAR(ACARREOS, TRANSPORTES)",hr,9037.33,57796.26
1,EDIFICACIONES,1.01,PRELIMINARES,1.01.77,"ALQUILER DE CAMION  350 O SIMILAR(ACARREOS, TRANSPORTES)",hr,9037.33,63576.95
1,EDIFICACIONES,1.02,CIMENTACIÓN Y DESAGUES,1.02.01,BASE EN CONCRETO POBRE E=0.05 mts. 14 MPa - (2000 PSI),M2,8594.33,29930.32
1,EDIFICACIONES,1.02,CIMENTACIÓN Y DESAGUES,1.02.02,CAJAS DE INSPECCION DE 1.00 X 1.00 X 1.00 MTS LADRILLO,UND,85943.26,593114.34
1,EDIFICACIONES,1.02,CIMENTACIÓN Y DESAGUES,1.02.03,CAJAS DE INSPECCION DE 1.20 X 1.20 X 1.20 MTS LADRILLO,UND,98220.88,787551.83
1,EDIFICACIONES,1.02,CIMENTACIÓN Y DESAGUES,1.02.04,CAJAS DE INSPECCION DE 60x60x60 cm  LADRILLO,UND,100402.99,342016.05
1,EDIFICACIONES,1.02,CIMENTACIÓN Y DESAGUES,1.02.05,CAJAS DE INSPECCION DE 80 X 80 X 80 cm LADRILLO,UND,103114.19,492495.89
1,EDIFICACIONES,1.02,CIMENTACIÓN Y DESAGUES,1.02.06,"CONCRETO CICLOPEO 10,5MPa (1500 PSI) RELACIÓN 60C/40P",M3,85259.76,336420.67
1,EDIFICACIONES,1.02,CIMENTACIÓN Y DESAGUES,1.02.07,CONCRETO CICLOPEO 14MPa (2000 PSI) RELACIÓN 60C/40P,M3,110837.68,389522.57
1,EDIFICACIONES,1.02,CIMENTACIÓN Y DESAGUES,1.02.08,CONCRETO CICLOPEO 17.5MPa (2500 PSI) RELACIÓN 60C/40P,M3,110837.68,405865.21
1,EDIFICACIONES,1.02,CIMENTACIÓN Y DESAGUES,1.02.09,CONCRETO CICLOPEO 21MPa (3000 PSI) RELACIÓN 60C/40P,M3,110837.68,421022
1,EDIFICACIONES,1.02,CIMENTACIÓN Y DESAGUES,1.02.10,CONCRETO DE ZAPATAS 21 MPa - (3000 PSI),M3,189075.19,700084.61
1,EDIFICACIONES,1.02,CIMENTACIÓN Y DESAGUES,1.02.11,CONCRETO DE ZAPATAS 21MPa  + FORMALETA,M3,190794.06,712761.2
1,EDIFICACIONES,1.02,CIMENTACIÓN Y DESAGUES,1.02.12,"CONCRETO VIGA DE AMARRE 21,1 MPa TE INVERTIDA",M3,159608.93,698080.81
1,EDIFICACIONES,1.02,CIMENTACIÓN Y DESAGUES,1.02.13,"CONCRETO VIGA DE AMARRE 21,1 MPa, SECCION RECTANGULAR",M3,144875.80,682168.64
1,EDIFICACIONES,1.02,CIMENTACIÓN Y DESAGUES,1.02.14,"CONSTRUCCION DE MUROS EN GAVIONES, INCLUYE MALLA ESLABONADA TRIPLE  TORSION CAL. 12",M3,51598.86,211610.7
1,EDIFICACIONES,1.02,CIMENTACIÓN Y DESAGUES,1.02.15,EXCAVACION DE CORTES Y CANALES SIN CLASIFICAR INCLUYE ACARREO LIBRE DE 5 KM,M3,612.44,16320.25
1,EDIFICACIONES,1.02,CIMENTACIÓN Y DESAGUES,1.02.16,"EXCAVACION DE CORTES, CANALES Y PRESTAMOS EN MATERIAL COMUN A MAQUINA INCLUYE CARGUE Y ACARREO LIBRE DE 5 KM",M3,0.00,12450.65
1,EDIFICACIONES,1.02,CIMENTACIÓN Y DESAGUES,1.02.17,EXCAVACION MANUAL EN MATERIAL COMUN (INCLUYE RETIRO),M3,53747.50,66142.29
1,EDIFICACIONES,1.02,CIMENTACIÓN Y DESAGUES,1.02.18,"EXCAVACION MECANICA EN ROCA DE LA EXPLANEACION, CANALES Y PRESTAMOS SIN EXPLOSIVOS, (INCLUYE RETIRO)",M3,2434.86,123234.84
1,EDIFICACIONES,1.02,CIMENTACIÓN Y DESAGUES,1.02.19,LOSA FLOTANTE CASETON-VIGAS H = 40 CM - 45 CM,M2,95274.25,132554.35
1,EDIFICACIONES,1.02,CIMENTACIÓN Y DESAGUES,1.02.20,LOSA MACIZA CIMIENTO CONCRETO 21 MPa - 3000 PSI H=10 CM,M2,21314.93,83364.2
1,EDIFICACIONES,1.02,CIMENTACIÓN Y DESAGUES,1.02.21,LOSA MACIZA CIMIENTO CONCRETO 21 MPa - 3000 PSI H=15 CM,M2,23446.43,105798.88
1,EDIFICACIONES,1.02,CIMENTACIÓN Y DESAGUES,1.02.22,LOSA MACIZA CIMIENTO CONCRETO 21 MPa - 3000 PSI H=20 CM,M2,25577.92,136370.5
1,EDIFICACIONES,1.02,CIMENTACIÓN Y DESAGUES,1.02.23,MURO CONTENCION CONCRETO CICLOPEO H<1.5 MTS 40%,M3,171886.54,593384.86
1,EDIFICACIONES,1.02,CIMENTACIÓN Y DESAGUES,1.02.24,MURO DE CONTENCIÓN EN CONCRETO DE 21 MPa - 3000 PSI 1.01MTS  H  2.00MTS,M3,255779.28,816987.21
1,EDIFICACIONES,1.02,CIMENTACIÓN Y DESAGUES,1.02.25,"MURO DE CONTENCIÓN EN CONCRETO DE 21 MPa - 3000 PSI 2.01MTS H 3,5 MTS",M3,255779.28,866119.14
1,EDIFICACIONES,1.02,CIMENTACIÓN Y DESAGUES,1.02.26,"PEDESTAL CONCRETO 21,1 Mpa (3000 PSI)",M3,73665.66,629504.25
1,EDIFICACIONES,1.02,CIMENTACIÓN Y DESAGUES,1.02.27,RELLENO CON MATERIAL DEL SITIO COMPACTADO CILINDRO,M3,9941.06,18981.44
1,EDIFICACIONES,1.02,CIMENTACIÓN Y DESAGUES,1.02.28,SOLADO CONCRETO ESPESOR E=0.05MTS 14MPa (2000PSI),M2,7366.57,28716.43
1,EDIFICACIONES,1.02,CIMENTACIÓN Y DESAGUES,1.02.29,SOLADO CONCRETO ESPESOR E=0.07MTS 14MPa (2000PSI),M2,7366.57,37250.48
1,EDIFICACIONES,1.02,CIMENTACIÓN Y DESAGUES,1.02.30,SUMINISTRO E INSTALACIÓN MALLA ELECTROSOLDADA U-84,kg,1202.19,6169.77
1,EDIFICACIONES,1.02,CIMENTACIÓN Y DESAGUES,1.02.31,"SUMINISTRO E INSTALACIÓN TUBERÍA DE ALCANTARILLADO PVC  D= 6""",ML,10742.82,50633.48
1,EDIFICACIONES,1.02,CIMENTACIÓN Y DESAGUES,1.02.32,"SUMINISTRO E INSTALACIÓN TUBERÍA DE ALCANTARILLADO PVC D=4""",ML,7403.39,28134.71
1,EDIFICACIONES,1.02,CIMENTACIÓN Y DESAGUES,1.02.33,"SUMINISTRO E INSTALACIÓN TUBERIA PVC D=4"" DRENAJE SIN FILTRO",ML,5402.15,24604.21
1,EDIFICACIONES,1.02,CIMENTACIÓN Y DESAGUES,1.02.34,"SUMINISTRO E INSTALACIÓN TUBERIA PVC D=6"" DRENAJE SIN FILTRO",ML,5402.15,43095.21
1,EDIFICACIONES,1.02,CIMENTACIÓN Y DESAGUES,1.02.35,"SUMINISTRO E INSTALACIÓN TUBERIA PVC D=8"" DRENAJE CON FILTRO",ML,10804.30,74535.43
1,EDIFICACIONES,1.02,CIMENTACIÓN Y DESAGUES,1.02.36,"SUMINISTRO E INSTALACIÓN TUBERIA PVC D=8"" DRENAJE SIN FILTRO",ML,10804.30,70608.43
1,EDIFICACIONES,1.02,CIMENTACIÓN Y DESAGUES,1.02.37,"SUMINISTRO E INSTALACION TUBERIA PVC SANITARIA D= 2""",ML,5402.15,18029.77
1,EDIFICACIONES,1.02,CIMENTACIÓN Y DESAGUES,1.02.38,"SUMINISTRO E INSTALACION TUBERIA PVC SANITARIA D= 3""",ML,5402.15,22980.97
1,EDIFICACIONES,1.02,CIMENTACIÓN Y DESAGUES,1.02.39,"SUMINISTRO E INSTALACIÓN TUBERÍA SANITARIA DE DESAGUE  PVC  D=2""",ML,7403.39,22485.91
1,EDIFICACIONES,1.02,CIMENTACIÓN Y DESAGUES,1.02.40,"SUMINISTRO E INSTALACIÓN TUBERÍA SANITARIA DE DESAGUE  PVC  D=4""",ML,7403.39,40414.31
1,EDIFICACIONES,1.02,CIMENTACIÓN Y DESAGUES,1.02.41,SUMINISTRO FIGURADA Y AMARRE DE ACERO 37000 PSI 240 MPa,kg,833.09,4170.69
1,EDIFICACIONES,1.02,CIMENTACIÓN Y DESAGUES,1.02.42,SUMINISTRO FIGURADA Y AMARRE DE ACERO 60000 PSI 420 MPa,kg,1004.41,4427.28
1,EDIFICACIONES,1.03,ESTRUCTURAS,1.03.01,"COLUMNAS EN CONCRETO 21 MPa - (3000 PSI), ALTURA MENOR A TRES METROS-FORMALETA MADERA",M3,252673.22,1184917.93
1,EDIFICACIONES,1.03,ESTRUCTURAS,1.03.02,"COLUMNAS EN CONCRETO 21 MPa (3000 PSI), ALTURA MAYOR A 3 mts-FORMALETA MADERA",M3,313079.06,1238546.75
1,EDIFICACIONES,1.03,ESTRUCTURAS,1.03.03,CONSTRUCCION DE VIGA CANAL EN CONCRETO IMPERMEABILZADO 21 MPa - (3000 PSI),M3,364227.24,1152855.06
1,EDIFICACIONES,1.03,ESTRUCTURAS,1.03.04,CONSTRUCCION DE VIGA CANAL EN CONCRETO IMPERMEABILZADO 24.5 MPa - (3500 PSI),M3,364227.24,1174436.45
1,EDIFICACIONES,1.03,ESTRUCTURAS,1.03.05,CONSTRUCCION DE VIGA CANAL EN CONCRETO IMPERMEABILZADO 28 MPa - (4000 PSI),M3,364227.24,1216130
1,EDIFICACIONES,1.03,ESTRUCTURAS,1.03.06,ESCALERAS MACIZA 21 MPa - (3000 PSI),M3,524253.95,1230801.29
1,EDIFICACIONES,1.03,ESTRUCTURAS,1.03.07,PLACA CASETON ESTERILLA DE GUADUA ALTURA DE 30 CMS   24.5 MPa - (3500 PSI),M2,67185.10,184943.7
1,EDIFICACIONES,1.03,ESTRUCTURAS,1.03.08,PLACA CASETON ESTERILLA DE GUADUA ALTURA DE 30 CMS  21 MPa - (3000 PSI),M2,67185.10,179486.14
1,EDIFICACIONES,1.03,ESTRUCTURAS,1.03.09,PLACA CASETON ESTERILLA DE GUADUA ALTURA DE 35 CMS   24.5 MPa - (3500 PSI),M2,67521.03,202242.48
1,EDIFICACIONES,1.03,ESTRUCTURAS,1.03.10,PLACA CASETON ESTERILLA DE GUADUA ALTURA DE 35 CMS  21 MPa - (3000 PSI),M2,67521.03,195875.32
1,EDIFICACIONES,1.03,ESTRUCTURAS,1.03.11,PLACA CASETON ESTERILLA DE GUADUA ALTURA DE 40 CMS   21 MPa - (3000 PSI),M2,67521.03,204050.39
1,EDIFICACIONES,1.03,ESTRUCTURAS,1.03.12,PLACA CASETON ESTERILLA DE GUADUA ALTURA DE 40 CMS   24.5 MPa - (3500 PSI),M2,67521.03,210872.35
1,EDIFICACIONES,1.03,ESTRUCTURAS,1.03.13,PLACA CON STEEL DECK 21 MPa - (3000 PSI) E=0.10MTS,M2,22507.01,103271.25
1,EDIFICACIONES,1.03,ESTRUCTURAS,1.03.14,PLACA CON STEEL DECK 24.5 MPa - (3500 PSI) E= 0.10 MTS,M2,22507.01,106682.23
1,EDIFICACIONES,1.03,ESTRUCTURAS,1.03.15,PLACA ENTREPISO ALIGERADO BLOQUE CONCRETO 21 MPa - (3000 PSI),M2,58932.53,304864.75
1,EDIFICACIONES,1.03,ESTRUCTURAS,1.03.16,PLACA ENTREPISO IMPERMEABILIZADO ALIGERADO CASETON DE LONA E=0.30 mts.   28 MPa - (4000 PSI),M2,56477.01,259368.38
1,EDIFICACIONES,1.03,ESTRUCTURAS,1.03.17,PLACA FACIL 21 MPa - (3000 PSI) E= 0.05 MTS,M2,140080.93,236248.29
1,EDIFICACIONES,1.03,ESTRUCTURAS,1.03.18,PLACA FACIL 24.5 MPa - (3500 PSI) E= 0.05 MTS,M2,140080.93,238832.05
1,EDIFICACIONES,1.03,ESTRUCTURAS,1.03.19,PLACA MACIZA 21 MPa - (3000 PSI)  E=0.10 MTS,M2,54021.49,252952.38
1,EDIFICACIONES,1.03,ESTRUCTURAS,1.03.20,PLACA MACIZA 21 MPa - (3000 PSI)  E=0.12 MTS,M2,49110.44,257305.92
1,EDIFICACIONES,1.03,ESTRUCTURAS,1.03.21,PLACA MACIZA 21 MPa - (3000 PSI)  E=0.15 MTS,M2,73665.66,297354.11
1,EDIFICACIONES,1.03,ESTRUCTURAS,1.03.22,REFUERZOS MALLA ELECTROSOLDADA H-257,kg,834.88,4814.83
1,EDIFICACIONES,1.03,ESTRUCTURAS,1.03.23,VIGA  AEREA  21 MPa - (3000 PSI),M3,454271.57,1166084.99
1,EDIFICACIONES,1.03,ESTRUCTURAS,1.03.24,VIGA AMARRE SOBRE MURO  21 MPa - (3000 PSI),M3,294662.64,857778.46
1,EDIFICACIONES,1.03,ESTRUCTURAS,1.03.25,"COLUMNAS EN CONCRETO 21 MPa - (3000 PSI), ALTURA MENOR A TRES METROS FORMALETA METALICA",M3,252673.22,1289564.24
1,EDIFICACIONES,1.03,ESTRUCTURAS,1.03.26,"COLUMNAS EN CONCRETO 21 MPa (3000 PSI), ALTURA MAYOR A 3 mts-FORMALETA METALICA",M3,313079.06,1350574.14
1,EDIFICACIONES,1.04,MAMPOSTERÍA,1.04.01,ALFAGIA EN CONCRETO E=0.15mts. 17.5 MPa - (2500 PSI) INC. REFUERZO,ML,18907.52,33733.88
1,EDIFICACIONES,1.04,MAMPOSTERÍA,1.04.02,ALFAGIA EN CONCRETO E=0.25mts. 17.5 MPa - (2500 PSI) INC. REFUERZO,ML,40516.11,57252.64
1,EDIFICACIONES,1.04,MAMPOSTERÍA,1.04.03,ALFAGIA LADRILLO PRENSADO TIPO MAGUNCIA,ML,14721.31,38715.88
1,EDIFICACIONES,1.04,MAMPOSTERÍA,1.04.04,DINTELES EN BLOQUE E=0.15 MTS,ML,11049.85,25368.04
1,EDIFICACIONES,1.04,MAMPOSTERÍA,1.04.05,DINTELES EN CONCRETO DE 15X20 cms. 17.5 MPa - (2500 PSI)  INC. REFUERZO,ML,20036.55,46965.96
1,EDIFICACIONES,1.04,MAMPOSTERÍA,1.04.06,ENCHAPES LADRILLO PRENSADO,M2,27010.74,93206.49
1,EDIFICACIONES,1.04,MAMPOSTERÍA,1.04.07,LAVADA DE FACHADA INC. ACIDO MURIATICO,M2,2259.33,6995.01
1,EDIFICACIONES,1.04,MAMPOSTERÍA,1.04.08,MESONES EN CONCRETO A=0.60 mts. 17.5 MPa - (2500PSI) INC. REFUERZO E:0.10,M2,53284.83,135066.67
1,EDIFICACIONES,1.04,MAMPOSTERÍA,1.04.09,MURO EN ADOBE ESTABILIZADO E= 0.65 MTS,M2,50388.82,230511.65
1,EDIFICACIONES,1.04,MAMPOSTERÍA,1.04.10,MURO EN BAHAREQUE E= 0.20 MTS,M2,50388.82,129815.46
1,EDIFICACIONES,1.04,MAMPOSTERÍA,1.04.11,MURO EN BLOQUE CONCRETO E=0.10 MTS,M2,27501.85,66420.41
1,EDIFICACIONES,1.04,MAMPOSTERÍA,1.04.12,MURO EN BLOQUE CONCRETO E=0.20 MTS,M2,27501.85,84920.95
1,EDIFICACIONES,1.04,MAMPOSTERÍA,1.04.13,MURO EN BLOQUE No.4 E=0.10 MTS,M2,12523.16,38644.67
1,EDIFICACIONES,1.04,MAMPOSTERÍA,1.04.14,MURO EN BLOQUE No.4 E=0.25 MTS,M2,24555.22,101473.58
1,EDIFICACIONES,1.04,MAMPOSTERÍA,1.04.15,MURO EN BLOQUE No.5 E=0.12 MTS,M2,12523.16,36971.25
1,EDIFICACIONES,1.04,MAMPOSTERÍA,1.04.16,MURO EN BLOQUE No.5 E=0.23 MTS,M2,24555.22,67495.21
1,EDIFICACIONES,1.04,MAMPOSTERÍA,1.04.17,MURO EN DRY WALL 1/2`` DOBLE CARA E =0.10 MTS,M2,25347.01,56348.21
1,EDIFICACIONES,1.04,MAMPOSTERÍA,1.04.18,MURO EN DRY WALL 1/2`` DOBLE CARA E =0.12 MTS,M2,25347.01,56257.54
1,EDIFICACIONES,1.04,MAMPOSTERÍA,1.04.19,MURO EN LADRILLO ESTRUCTURAL E=0.15 MTS,M2,29273.88,96985.22
1,EDIFICACIONES,1.04,MAMPOSTERÍA,1.04.20,"MURO EN TAPIA PISADA E=0.50 MTS ANCHO, INCLUYE FORMALETA",M2,94059.14,309782.32
